convocatoria_numero,nombre_documento,tipo_documento,numero_anexo,subtipo_anexo,tipo_actividad,formato,url,ruta_local,estado,bytes,error
976.0,Anexo 4. Vinculación de jóvenes investigadores e innovadores.,anexo,4.0,talento_hv,Apertura,editable,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_4._vinculacion_de_jovenes_investigadores_e_innovadores_editable.docx,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_976\anexo_4._vinculacion_de_jovenes_investigadores_e_innovadores_editable.docx,omitido_existe,2799765,
976.0,Anexo 5. Vinculación semilleros de investigación.,anexo,5.0,talento_hv,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_5._vinculacion_semilleros_de_investigacion_1.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_976\anexo_5._vinculacion_semilleros_de_investigacion_1.pdf,omitido_existe,118462,
976.0,Anexo 5. Vinculación semilleros de investigación.,anexo,5.0,talento_hv,Apertura,editable,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_5._vinculacion_semilleros_de_investigacion_editable.docx,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_976\anexo_5._vinculacion_semilleros_de_investigacion_editable.docx,omitido_existe,4047610,
976.0,Anexo 6: Contenido técnico de la propuesta del proyecto.,anexo,6.0,tecnico,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_6._contenido_tecnico_de_la_propuesta_del_proyecto_1.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_976\anexo_6._contenido_tecnico_de_la_propuesta_del_proyecto_1.pdf,omitido_existe,277093,
976.0,Anexo 7: Rubros financiables.,anexo,7.0,finanzas,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_7._rubros_financiables_1.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_976\anexo_7._rubros_financiables_1.pdf,omitido_existe,206782,
976.0,Anexo 8. Apropiación social y divulgación de la ciencia.,anexo,8.0,apropiacion_social,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_8._apropiacion_social_y_divulgacion_de_la_ciencia_0.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_976\anexo_8._apropiacion_social_y_divulgacion_de_la_ciencia_0.pdf,omitido_existe,270530,
976.0,Resolución 0275 de 2026,resolucion,,,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/resolucion_0275-2026.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_976\resolucion_0275-2026.pdf,ok,2154271,
976.0,Términos de Referencia Convocatoria COLOMBIA INTELIGENTE  2026,terminos_referencia,,,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/terminos_de_referencia_v6_-_colombia_inteligente_2026_4_1.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_976\terminos_de_referencia_v6_-_colombia_inteligente_2026_4_1.pdf,ok,1016630,
976.0,Nota aclaratoria No. 1  CONVOCATORIA 976 “COLOMBIA INTELIGENTE 2026”,modificacion,,,Modificaciones,pdf,https://minciencias.gov.co/sites/default/files/nota_aclaratoria_no._1_convocatoria_976_colombia_inteligente_2026.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_976\nota_aclaratoria_no._1_convocatoria_976_colombia_inteligente_2026.pdf,ok,80132,
976.0,Adenda No. 1 de la convocatoria 976-2026,modificacion,,,Modificaciones,pdf,https://minciencias.gov.co/sites/default/files/1adenda_1_convocatoria_976_de_2026.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_976\1adenda_1_convocatoria_976_de_2026.pdf,ok,428949,
975.0,"Anexo 1: Carta de compromiso, conocimiento, autorización del tratamiento de datos personales y aceptación del candidato.",anexo,1.0,otro,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_1_carta_de_compromiso_y_aceptacion_del_candidato.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_975\anexo_1_carta_de_compromiso_y_aceptacion_del_candidato.pdf,omitido_existe,181694,
975.0,"Anexo 1: Carta de compromiso, conocimiento, autorización del tratamiento de datos personales y aceptación del candidato - editab",anexo,1.0,otro,Apertura,editable,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_1_carta_de_compromiso_y_aceptacion_del_candidato.docx,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_975\anexo_1_carta_de_compromiso_y_aceptacion_del_candidato.docx,omitido_existe,2388375,
975.0,Anexo 2: Documento Técnico de la Propuesta,anexo,2.0,tecnico,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_2_documento_tecnico_de_la_propuesta.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_975\anexo_2_documento_tecnico_de_la_propuesta.pdf,omitido_existe,207590,
975.0,Anexo 2: Documento Técnico de la Propuesta - editable,anexo,2.0,tecnico,Apertura,editable,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_2_documento_tecnico_de_la_propuesta.docx,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_975\anexo_2_documento_tecnico_de_la_propuesta.docx,omitido_existe,2481341,
975.0,Anexo 3: Áreas OCDE,anexo,3.0,otro,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_3_areas_ocde.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_975\anexo_3_areas_ocde.pdf,omitido_existe,219681,
975.0,Resolución 0273 de 2026,resolucion,,,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/resolucion_0273-2026.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_975\resolucion_0273-2026.pdf,ok,2119470,
975.0,Términos de Referencia Convocatoria de “Becas para el Cambio”  Formación en Maestrías y Doctorados,terminos_referencia,,,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/terminos_referencia_convocatoria_apoyo_formacion_alto_nivel_vr_final_ajustado.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_975\terminos_referencia_convocatoria_apoyo_formacion_alto_nivel_vr_final_ajustado.pdf,ok,897100,
975.0,Adenda No. 1 de la convocatoria 975-2026,modificacion,,,Modificaciones,pdf,https://minciencias.gov.co/sites/default/files/adenda_1_convocatoria_975_de_2026_1_0.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_975\adenda_1_convocatoria_975_de_2026_1_0.pdf,ok,1161357,
975.0,Adenda No. 2 de la convocatoria 975-2026,modificacion,,,Modificaciones,pdf,https://minciencias.gov.co/sites/default/files/adenda_2_convocatoria_975_de_2026_abril_27_1_1.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_975\adenda_2_convocatoria_975_de_2026_abril_27_1_1.pdf,ok,1133668,
975.0,Adenda No. 3 de la convocatoria 975-2026,modificacion,,,Modificaciones,pdf,https://minciencias.gov.co/sites/default/files/adenda_3_convocatoria_975_de_2026.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_975\adenda_3_convocatoria_975_de_2026.pdf,ok,1090490,
975.0,Banco Preliminar de Propuestas Elegibles de la Convocatoria 975 de 2026,otro,,,Publicación de resultados preliminares,pdf,https://minciencias.gov.co/sites/default/files/convocatoria/banco_preliminar_de_propuestas_elegibles_de_la_convocatoria_975_de_2026_0.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_975\banco_preliminar_de_propuestas_elegibles_de_la_convocatoria_975_de_2026_0.pdf,ok,11378278,
